source,target,year,weight
111,111,2000,3
111,111,2001,2
111,111,2002,1
111,111,2003,2
111,111,2004,3
111,111,2005,5
111,111,2006,5
111,111,2007,7
111,111,2008,6
111,111,2009,4
111,111,2010,4
111,111,2011,4
111,111,2012,3
111,111,2013,8
111,111,2014,8
111,112,2000,0
111,112,2001,0
111,112,2002,0
111,112,2003,0
111,112,2004,0
111,112,2005,0
111,112,2006,0
111,112,2007,0
111,112,2008,1
111,112,2009,0
111,112,2010,0
111,112,2011,0
111,112,2012,0
111,112,2013,1
111,112,2014,0
111,113,2000,0
111,113,2001,0
111,113,2002,0
111,113,2003,0
111,113,2004,0
111,113,2005,1
111,113,2006,0
111,113,2007,0
111,113,2008,1
111,113,2009,0
111,113,2010,0
111,113,2011,0
111,113,2012,0
111,113,2013,0
111,113,2014,0
111,115,2000,0
111,115,2001,0
111,115,2002,0
111,115,2003,0
111,115,2004,0
111,115,2005,0
111,115,2006,1
111,115,2007,0
111,115,2008,0
111,115,2009,0
111,115,2010,1
111,115,2011,0
111,115,2012,1
111,115,2013,0
111,115,2014,0
111,221,2000,0
111,221,2001,0
111,221,2002,0
111,221,2003,0
111,221,2004,0
111,221,2005,0
111,221,2006,0
111,221,2007,0
111,221,2008,0
111,221,2009,0
111,221,2010,2
111,221,2011,1
111,221,2012,0
111,221,2013,0
111,221,2014,0
111,311,2000,1
111,311,2001,4
111,311,2002,2
111,311,2003,1
111,311,2004,1
111,311,2005,0
111,311,2006,1
111,311,2007,0
111,311,2008,2
111,311,2009,2
111,311,2010,1
111,311,2011,2
111,311,2012,2
111,311,2013,0
111,311,2014,1
111,312,2000,0
111,312,2001,1
111,312,2002,0
111,312,2003,1
111,312,2004,0
111,312,2005,0
111,312,2006,2
111,312,2007,0
111,312,2008,0
111,312,2009,0
111,312,2010,0
111,312,2011,0
111,312,2012,1
111,312,2013,2
111,312,2014,0
111,325,2000,0
111,325,2001,0
111,325,2002,0
111,325,2003,0
111,325,2004,0
111,325,2005,1
111,325,2006,0
111,325,2007,0
111,325,2008,0
111,325,2009,1
111,325,2010,0
111,325,2011,0
111,325,2012,2
111,325,2013,3
111,325,2014,0
111,332,2000,0
111,332,2001,0
111,332,2002,0
111,332,2003,0
111,332,2004,1
111,332,2005,0
111,332,2006,0
111,332,2007,0
111,332,2008,0
111,332,2009,0
111,332,2010,0
111,332,2011,0
111,332,2012,0
111,332,2013,0
111,332,2014,0
111,334,2000,0
111,334,2001,0
111,334,2002,0
111,334,2003,0
111,334,2004,0
111,334,2005,0
111,334,2006,0
111,334,2007,0
111,334,2008,0
111,334,2009,0
111,334,2010,0
111,334,2011,0
111,334,2012,0
111,334,2013,1
111,334,2014,0
111,423,2000,1
111,423,2001,0
111,423,2002,0
111,423,2003,0
111,423,2004,0
111,423,2005,0
111,423,2006,0
111,423,2007,0
111,423,2008,0
111,423,2009,0
111,423,2010,0
111,423,2011,0
111,423,2012,0
111,423,2013,0
111,423,2014,0
111,424,2000,0
111,424,2001,1
111,424,2002,0
111,424,2003,1
111,424,2004,0
111,424,2005,0
111,424,2006,0
111,424,2007,0
111,424,2008,0
111,424,2009,0
111,424,2010,0
111,424,2011,1
111,424,2012,0
111,424,2013,0
111,424,2014,0
111,444,2000,0
111,444,2001,0
111,444,2002,0
111,444,2003,0
111,444,2004,0
111,444,2005,0
111,444,2006,0
111,444,2007,0
111,444,2008,0
111,444,2009,0
111,444,2010,0
111,444,2011,0
111,444,2012,1
111,444,2013,0
111,444,2014,0
111,453,2000,0
111,453,2001,0
111,453,2002,0
111,453,2003,0
111,453,2004,0
111,453,2005,0
111,453,2006,0
111,453,2007,0
111,453,2008,0
111,453,2009,0
111,453,2010,0
111,453,2011,0
111,453,2012,1
111,453,2013,0
111,453,2014,0
111,454,2000,0
111,454,2001,0
111,454,2002,0
111,454,2003,0
111,454,2004,0
111,454,2005,0
111,454,2006,0
111,454,2007,0
111,454,2008,0
111,454,2009,0
111,454,2010,0
111,454,2011,0
111,454,2012,1
111,454,2013,0
111,454,2014,0
111,488,2000,0
111,488,2001,0
111,488,2002,0
111,488,2003,0
111,488,2004,0
111,488,2005,0
111,488,2006,0
111,488,2007,1
111,488,2008,0
111,488,2009,0
111,488,2010,0
111,488,2011,0
111,488,2012,0
111,488,2013,0
111,488,2014,0
111,511,2000,0
111,511,2001,0
111,511,2002,0
111,511,2003,0
111,511,2004,0
111,511,2005,0
111,511,2006,0
111,511,2007,0
111,511,2008,1
111,511,2009,0
111,511,2010,0
111,511,2011,0
111,511,2012,0
111,511,2013,0
111,511,2014,0
111,517,2000,0
111,517,2001,0
111,517,2002,0
111,517,2003,0
111,517,2004,0
111,517,2005,0
111,517,2006,0
111,517,2007,0
111,517,2008,0
111,517,2009,0
111,517,2010,0
111,517,2011,0
111,517,2012,0
111,517,2013,1
111,517,2014,0
111,541,2000,0
111,541,2001,0
111,541,2002,0
111,541,2003,0
111,541,2004,0
111,541,2005,1
111,541,2006,0
111,541,2007,0
111,541,2008,0
111,541,2009,0
111,541,2010,0
111,541,2011,2
111,541,2012,0
111,541,2013,0
111,541,2014,0
111,561,2000,0
111,561,2001,0
111,561,2002,0
111,561,2003,0
111,561,2004,0
111,561,2005,0
111,561,2006,0
111,561,2007,0
111,561,2008,0
111,561,2009,0
111,561,2010,0
111,561,2011,0
111,561,2012,1
111,561,2013,0
111,561,2014,0
111,924,2000,0
111,924,2001,0
111,924,2002,0
111,924,2003,0
111,924,2004,0
111,924,2005,0
111,924,2006,0
111,924,2007,0
111,924,2008,0
111,924,2009,0
111,924,2010,0
111,924,2011,1
111,924,2012,0
111,924,2013,0
111,924,2014,0
112,112,2000,1
112,112,2001,1
112,112,2002,1
112,112,2003,3
112,112,2004,1
112,112,2005,3
112,112,2006,3
112,112,2007,3
112,112,2008,5
112,112,2009,3
112,112,2010,1
112,112,2011,2
112,112,2012,2
112,112,2013,1
112,112,2014,6
112,115,2000,0
112,115,2001,0
112,115,2002,0
112,115,2003,0
112,115,2004,0
112,115,2005,1
112,115,2006,0
112,115,2007,0
112,115,2008,0
112,115,2009,1
112,115,2010,0
112,115,2011,1
112,115,2012,0
112,115,2013,0
112,115,2014,0
112,311,2000,0
112,311,2001,1
112,311,2002,0
112,311,2003,2
112,311,2004,0
112,311,2005,0
112,311,2006,0
112,311,2007,0
112,311,2008,1
112,311,2009,0
112,311,2010,0
112,311,2011,3
112,311,2012,1
112,311,2013,1
112,311,2014,1
112,315,2000,0
112,315,2001,0
112,315,2002,0
112,315,2003,0
112,315,2004,0
112,315,2005,0
112,315,2006,0
112,315,2007,0
112,315,2008,0
112,315,2009,1
112,315,2010,0
112,315,2011,0
112,315,2012,0
112,315,2013,0
112,315,2014,0
112,321,2000,0
112,321,2001,0
112,321,2002,1
112,321,2003,0
112,321,2004,0
112,321,2005,0
112,321,2006,0
112,321,2007,0
112,321,2008,0
112,321,2009,0
112,321,2010,0
112,321,2011,0
112,321,2012,0
112,321,2013,0
112,321,2014,0
112,325,2000,0
112,325,2001,0
112,325,2002,0
112,325,2003,1
112,325,2004,1
112,325,2005,0
112,325,2006,0
112,325,2007,0
112,325,2008,0
112,325,2009,1
112,325,2010,0
112,325,2011,0
112,325,2012,0
112,325,2013,0
112,325,2014,0
112,334,2000,0
112,334,2001,0
112,334,2002,0
112,334,2003,0
112,334,2004,0
112,334,2005,0
112,334,2006,0
112,334,2007,0
112,334,2008,0
112,334,2009,1
112,334,2010,0
112,334,2011,0
112,334,2012,0
112,334,2013,0
112,334,2014,0
112,424,2000,0
112,424,2001,0
112,424,2002,0
112,424,2003,0
112,424,2004,0
112,424,2005,0
112,424,2006,1
112,424,2007,0
112,424,2008,0
112,424,2009,1
112,424,2010,0
112,424,2011,0
112,424,2012,0
112,424,2013,0
112,424,2014,2
112,444,2000,0
112,444,2001,0
112,444,2002,0
112,444,2003,0
112,444,2004,0
112,444,2005,0
112,444,2006,1
112,444,2007,0
112,444,2008,0
112,444,2009,0
112,444,2010,0
112,444,2011,0
112,444,2012,0
112,444,2013,0
112,444,2014,0
112,453,2000,0
112,453,2001,0
112,453,2002,0
112,453,2003,0
112,453,2004,0
112,453,2005,0
112,453,2006,0
112,453,2007,0
112,453,2008,0
112,453,2009,0
112,453,2010,0
112,453,2011,1
112,453,2012,0
112,453,2013,0
112,453,2014,0
112,512,2000,0
112,512,2001,0
112,512,2002,0
112,512,2003,0
112,512,2004,1
112,512,2005,0
112,512,2006,0
112,512,2007,0
112,512,2008,0
112,512,2009,0
112,512,2010,0
112,512,2011,0
112,512,2012,0
112,512,2013,0
112,512,2014,0
112,515,2000,1
112,515,2001,0
112,515,2002,0
112,515,2003,0
112,515,2004,0
112,515,2005,0
112,515,2006,0
112,515,2007,0
112,515,2008,0
112,515,2009,0
112,515,2010,0
112,515,2011,0
112,515,2012,0
112,515,2013,0
112,515,2014,0
113,111,2000,0
113,111,2001,0
113,111,2002,0
113,111,2003,2
113,111,2004,0
113,111,2005,1
113,111,2006,0
113,111,2007,0
113,111,2008,0
113,111,2009,0
113,111,2010,0
113,111,2011,0
113,111,2012,0
113,111,2013,0
113,111,2014,0
113,113,2000,1
113,113,2001,0
